"Faturamento por dia Tradiça  ","","","","","","","","","","","",""
"Data ","","","","99","","","","","","","",""
"Terça 20/01","R$ 793,37","R$ 934,00","R$ 607,50","","R$ 2.334,87","","","","","","",""
"Quarta 21/01 ","R$ 656,30","R$ 616,09","R$ 565,10","","R$ 1.837,49","","","","","","",""
"Quinta 22/01","R$ 541,62","R$ 1.564,59","R$ 470,40","","R$ 2.576,61","","","","","","",""
"Sexta 23/01","R$ 1.355,22","R$ 1.190,99","R$ 840,10","","R$ 3.386,31","","","","","","",""
"sabado 24/01","R$ 1.129,84","R$ 862,82","R$ 898,10","","R$ 2.890,76","","","","","","",""
"domingo 25/01","R$ 799,84","R$ 1.612,65","R$ 1.323,20","","R$ 3.735,69","","","","","","",""
"Terça 27/01","R$ 271,63","R$ 479,91","R$ 629,90","","R$ 1.381,44","","","","","","",""
"Quarta 28/01","R$ 513,02","R$ 1.190,72","R$ 146,30","","R$ 1.850,04","","","","","","",""
"Quinta 29/01","R$ 244,49","R$ 1.014,05","R$ 674,70","","R$ 1.933,24","","","","","","",""
"Sexta 30/01","R$ 1.415,53","R$ 1.281,93","R$ 983,30","","R$ 3.680,76","","","","","","",""
"sabado 31/01","R$ 993,21","R$ 1.745,48","R$ 1.104,01","","R$ 3.842,70","","","","","","",""
"domingo 01/02","R$ 488,24","R$ 2.420,02","R$ 1.179,20","","R$ 4.087,46","","","","","","",""
"Terça 03/02","R$ 515,46","R$ 486,18","R$ 394,60","","R$ 1.396,24","","","","","","",""
"Quarta 04/02","R$ 994,29","R$ 1.069,85","R$ 644,90","","R$ 2.709,04","","","","","","",""
"Quinta 05/02","R$ 479,10","R$ 884,79","R$ 429,60","","R$ 1.793,49","","","","","","",""
"Sexta 06/02","R$ 1.272,65","R$ 1.469,12","R$ 1.509,51","","R$ 4.251,28","","","","","","",""
"sabado 07/02","R$ 895,43","R$ 1.481,77","R$ 1.044,00","","R$ 3.421,20","","","","","","",""
"domingo 08/02","R$ 783,58","R$ 1.705,73","R$ 713,20","","R$ 3.202,51","","","","","","",""
"Terça 10/02","R$ 557,46","R$ 643,77","R$ 578,60","","R$ 1.779,83","","","","","","",""
"Quarta 11/02","R$ 469,66","R$ 727,35","R$ 658,50","","R$ 1.855,51","","","","","","",""
"Quinta 12/02","R$ 1.139,12","R$ 805,38","R$ 458,10","","R$ 2.402,60","","","","","","",""
"Sexta 13/02","R$ 1.868,60","R$ 1.573,84","R$ 910,40","","R$ 4.352,84","","","","","","",""
"sabado 14/02","R$ 1.381,98","R$ 1.499,35","R$ 799,00","","R$ 3.680,33","","","","","","",""
"domingo 15/02","R$ 615,39","R$ 1.335,10","R$ 650,10","","R$ 2.600,59","","","","","","",""
"Terça 17/02","R$ 393,08","R$ 1.252,21","R$ 976,30","","R$ 2.621,59","","","","","","",""
"Quarta 18/02","R$ 224,53","R$ 860,03","R$ 354,51","","R$ 1.439,07","","","","","","",""
"Quinta 19/02","R$ 653,48","R$ 664,98","R$ 529,40","","R$ 1.847,86","","","","","","",""
"Sexta 20/02","R$ 1.161,65","R$ 1.665,03","R$ 1.211,28","","R$ 4.037,96","","","","","","",""
"sabado 21/02","R$ 614,47","R$ 1.411,36","R$ 1.021,20","","R$ 3.047,03","","","","","","",""
"domingo 22/02","R$ 881,59","R$ 1.702,88","R$ 991,00","","R$ 3.575,47","","","","","","",""
"Terça 24/02","R$ 390,29","R$ 404,59","R$ 127,30","","R$ 922,18","","","","","","",""
